text_asr,text_translated,intent,language,full_audio_path
I want to change my address,I want to change my address,1,en-US,MInDS-14\audio\en-US~ADDRESS/602bae3cbb1e6d0fbce92246.wav
I'm calling to enquire about a new business loan but I would like to take out,I'm calling to enquire about a new business loan but I would like to take out,5,en-GB,MInDS-14\audio\en-GB~BUSINESS_LOAN/60268c2cc7abb7f832138964.wav
good morning single lost my ATM card like a debit card I need to put a freezer,good morning single lost my ATM card like a debit card I need to put a freezer,9,en-US,MInDS-14\audio\en-US~FREEZE/602ba947bb1e6d0fbce92119.wav
how much money can I take out at the ATM,how much money can I take out at the ATM,3,en-US,MInDS-14\audio\en-US~ATM_LIMIT/602ba5c3bb1e6d0fbce9207d.wav
I need to block my card please,I need to block my card please,9,en-GB,MInDS-14\audio\en-GB~FREEZE/60268f68c7abb7f832138c52.wav
hello I'd like to make a payment on my credit card please,hello I'd like to make a payment on my credit card please,13,en-GB,MInDS-14\audio\en-GB~PAY_BILL/60268fd7c7abb7f832138d5d.wav
hi can you let me know how I can deposit money into my account,hi can you let me know how I can deposit money into my account,7,en-GB,MInDS-14\audio\en-GB~CASH_DEPOSIT/60268e5ccfa37e1cf217b0cc.wav
I have received a bill and would like to make a payment,I have received a bill and would like to make a payment,13,en-GB,MInDS-14\audio\en-GB~PAY_BILL/60268fcedc3604f481bcb8a4.wav
how can I use the website to set up a joint account,how can I use the website to set up a joint account,11,en-AU,MInDS-14\audio\en-AU~JOINT_ACCOUNT/response_21.wav
please can you tell me my account balance,please can you tell me my account balance,4,en-GB,MInDS-14\audio\en-GB~BALANCE/60268dcfc7abb7f832138a8c.wav
I would like to make a query about a recent transaction,I would like to make a query about a recent transaction,12,en-GB,MInDS-14\audio\en-GB~LATEST_TRANSACTIONS/60269005c7abb7f832138dd3.wav
show me my Direct debits please,show me my Direct debits please,8,en-AU,MInDS-14\audio\en-AU~DIRECT_DEBIT/response_23.wav
having a problem loading the bank app,having a problem loading the bank app,2,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_19.wav
what is my current bank balance,what is my current bank balance,4,en-US,MInDS-14\audio\en-US~BALANCE/602ba046bb1e6d0fbce91fd3.wav
hi I'm just going with I need to change the address on my card in terms of the details are linked to that card and you did not do that thank you,hi I'm just going with I need to change the address on my card in terms of the details are linked to that card and you did not do that thank you,1,en-GB,MInDS-14\audio\en-GB~ADDRESS/60268d73dc3604f481bcb756.wav
I like to know how to send a large payment can go through after I use,I like to know how to send a large payment can go through after I use,10,en-US,MInDS-14\audio\en-US~HIGH_VALUE_PAYMENT/602b99cd05f96973d67943b7.wav
hello I'm having trouble with my card it won't scan properly and it's declining when I try to use it,hello I'm having trouble with my card it won't scan properly and it's declining when I try to use it,6,en-AU,MInDS-14\audio\en-AU~CARD_ISSUES/response_5.wav
I wish to deposit money into my account account,I wish to deposit money into my account account,7,en-GB,MInDS-14\audio\en-GB~CASH_DEPOSIT/60268f7fc7abb7f832138c91.wav
hello I'm just calling cheers I have recently moved house and would like my address please I just like to know how to go about doing that thank you very much,hello I'm just calling cheers I have recently moved house and would like my address please I just like to know how to go about doing that thank you very much,1,en-GB,MInDS-14\audio\en-GB~ADDRESS/60268e6ac7abb7f832138af6.wav
I want to change my address,I want to change my address,1,en-AU,MInDS-14\audio\en-AU~ADDRESS/response_2.wav
hey I was wondering if you could help me with this enquiry or enquiry I have so I'm I'm actually paying a large amount of money to buy something from the store and it says that I'm I'll be getting a text message but I don't really know these payment goes and what I need to do could you help me on that my puppies,hey I was wondering if you could help me with this enquiry or enquiry I have so I'm I'm actually paying a large amount of money to buy something from the store and it says that I'm I'll be getting a text message but I don't really know these payment goes and what I need to do could you help me on that my puppies,10,en-GB,MInDS-14\audio\en-GB~HIGH_VALUE_PAYMENT/60268ef6c7abb7f832138b6f.wav
read card all transaction,read card all transaction,9,en-US,MInDS-14\audio\en-US~FREEZE/602baf3f963e11ccd901ce35.wav
I want to take some money out of the ATM what's the max I can take out,I want to take some money out of the ATM what's the max I can take out,3,en-AU,MInDS-14\audio\en-AU~ATM_LIMIT/CA6319d93c8e3abba680d386621f450f20_2.wav
how do I type in the bank and I'll I want to check I can use it overseas,how do I type in the bank and I'll I want to check I can use it overseas,0,en-AU,MInDS-14\audio\en-AU~ABROAD/CA7e94f8486a0c3109d1ec46f9d6aab429_3.wav
I want to change my address,I want to change my address,1,en-GB,MInDS-14\audio\en-GB~ADDRESS/60268a1cc7abb7f832138862.wav
will you think as an application for my banking account but the account is not working because there is an issue with the login it doesn't recognise the number that I could be in,will you think as an application for my banking account but the account is not working because there is an issue with the login it doesn't recognise the number that I could be in,2,en-GB,MInDS-14\audio\en-GB~APP_ERROR/60268aa1cfa37e1cf217b07f.wav
hello Jess I have a few questions I'm depositing money into the account I was wondering if I could deposit some money and I'm I'm not quite sure where where can I deposit money and how do I transfer money into the account,hello Jess I have a few questions I'm depositing money into the account I was wondering if I could deposit some money and I'm I'm not quite sure where where can I deposit money and how do I transfer money into the account,7,en-US,MInDS-14\audio\en-US~CASH_DEPOSIT/602ba6e7963e11ccd901cce2.wav
hello I'm going on holiday next week I was just wondering if my card can be used abroad can I use it with chip and pin or contactless that be great thank you,hello I'm going on holiday next week I was just wondering if my card can be used abroad can I use it with chip and pin or contactless that be great thank you,0,en-GB,MInDS-14\audio\en-GB~ABROAD/60268cf2c7abb7f8321389e3.wav
I have to pay bill,I have to pay bill,13,en-GB,MInDS-14\audio\en-GB~PAY_BILL/6026900fdc3604f481bcb8cf.wav
hello I'm calling about my business loan I would like to talk about my business phone and I have a few questions I need answered,hello I'm calling about my business loan I would like to talk about my business phone and I have a few questions I need answered,5,en-US,MInDS-14\audio\en-US~BUSINESS_LOAN/602ba6b65f67b421554f6419.wav
I would like to see my most recent transactions,I would like to see my most recent transactions,12,en-US,MInDS-14\audio\en-US~LATEST_TRANSACTIONS/602ba6415f67b421554f6412.wav
I need to change my address can I do that here thank you,I need to change my address can I do that here thank you,1,en-US,MInDS-14\audio\en-US~ADDRESS/602badbd05f96973d67944e6.wav
so I got some money that I want a deposit into my account how do I do that,so I got some money that I want a deposit into my account how do I do that,7,en-AU,MInDS-14\audio\en-AU~CASH_DEPOSIT/response_39.wav
why do I keep getting these text messages I just want to pay off my balance,why do I keep getting these text messages I just want to pay off my balance,10,en-US,MInDS-14\audio\en-US~HIGH_VALUE_PAYMENT/602bae5dbb1e6d0fbce92254.wav
hi ID like to see a list of my recent transactions my bank account please,hi ID like to see a list of my recent transactions my bank account please,12,en-AU,MInDS-14\audio\en-AU~LATEST_TRANSACTIONS/response_8.wav
I'm trying to make a purchase online but keeps telling me a SMS code I'm not sure what that is,I'm trying to make a purchase online but keeps telling me a SMS code I'm not sure what that is,10,en-US,MInDS-14\audio\en-US~HIGH_VALUE_PAYMENT/602baf0ebb1e6d0fbce922a0.wav
ID like to set up a joint account please I can't find the option in the app,ID like to set up a joint account please I can't find the option in the app,11,en-AU,MInDS-14\audio\en-AU~JOINT_ACCOUNT/response_42.wav
I'm trying to make a large payment to my account I'm receiving a text message.,I'm trying to make a large payment to my account I'm receiving a text message.,10,en-US,MInDS-14\audio\en-US~HIGH_VALUE_PAYMENT/602bad1fbb1e6d0fbce921e2.wav
hey there I'm just got a large payment that I've got to make I'm a bit confused because my online application keeps denying me it into the minion SMS but I'm not really too sure what to do with them I was just wondering if you could lend me a hand fairly urgent that I get this you know large transaction sort it out thanks,hey there I'm just got a large payment that I've got to make I'm a bit confused because my online application keeps denying me it into the minion SMS but I'm not really too sure what to do with them I was just wondering if you could lend me a hand fairly urgent that I get this you know large transaction sort it out thanks,10,en-AU,MInDS-14\audio\en-AU~HIGH_VALUE_PAYMENT/response_19.wav
I'm trying to make a large payment online it says I'm getting a text message I don't know what these text messages the payment codes I'm supposed to be getting,I'm trying to make a large payment online it says I'm getting a text message I don't know what these text messages the payment codes I'm supposed to be getting,10,en-GB,MInDS-14\audio\en-GB~HIGH_VALUE_PAYMENT/60269092dc3604f481bcb8eb.wav
please can I deposit some money in my bank,please can I deposit some money in my bank,7,en-GB,MInDS-14\audio\en-GB~CASH_DEPOSIT/60268d03c7abb7f8321389f3.wav
hi there I need weed how much money I can get out in a cash machine and any day,hi there I need weed how much money I can get out in a cash machine and any day,3,en-GB,MInDS-14\audio\en-GB~ATM_LIMIT/60268ee6c7abb7f832138b5a.wav
I want to deposit money into my account,I want to deposit money into my account,7,en-AU,MInDS-14\audio\en-AU~CASH_DEPOSIT/response_3.wav
I need help making a large payment that I need to use a code and text message and I don't understand the money to help,I need help making a large payment that I need to use a code and text message and I don't understand the money to help,10,en-GB,MInDS-14\audio\en-GB~HIGH_VALUE_PAYMENT/60268f52c7abb7f832138c22.wav
hi I lost my card I'd like to freeze my card softball transactions I don't know where I put it I'm not sure if it was stolen or not so I'd like it to be frozen so that nothing can happen thank you very much,hi I lost my card I'd like to freeze my card softball transactions I don't know where I put it I'm not sure if it was stolen or not so I'd like it to be frozen so that nothing can happen thank you very much,9,en-US,MInDS-14\audio\en-US~FREEZE/602b9e95bb1e6d0fbce91fbb.wav
new loan,new loan,5,en-US,MInDS-14\audio\en-US~BUSINESS_LOAN/602bad245f67b421554f648f.wav
help with your Android app I can't get into it at all it just shows me a error as soon as I open the app,help with your Android app I can't get into it at all it just shows me a error as soon as I open the app,2,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_36.wav
I need to pay my credit card bill,I need to pay my credit card bill,13,en-US,MInDS-14\audio\en-US~PAY_BILL/602badcabb1e6d0fbce92212.wav
hi there I've just tried to use my card and got declined so I just wondering if you could help me with that please,hi there I've just tried to use my card and got declined so I just wondering if you could help me with that please,6,en-AU,MInDS-14\audio\en-AU~CARD_ISSUES/response_12.wav
how much money can I withdraw,how much money can I withdraw,3,en-GB,MInDS-14\audio\en-GB~ATM_LIMIT/60268efbc421a821df7c1895.wav
I seem to be having trouble with using my card,I seem to be having trouble with using my card,6,en-US,MInDS-14\audio\en-US~CARD_ISSUES/602b9cd0bb1e6d0fbce91f97.wav
I've just received my gas bill and ID like to know how to pay using my internet banking are you able to assist,I've just received my gas bill and ID like to know how to pay using my internet banking are you able to assist,13,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_43.wav
are hi I am travelling overseas and I'm hoping to use my my car while I'm over there as want to find out whether there's anything I had to do to activate the card so work over for you,are hi I am travelling overseas and I'm hoping to use my my car while I'm over there as want to find out whether there's anything I had to do to activate the card so work over for you,0,en-AU,MInDS-14\audio\en-AU~ABROAD/CAf13e2cb38dcad2bc51e0b309cbf36511_2.wav
card not working,card not working,6,en-AU,MInDS-14\audio\en-AU~CARD_ISSUES/response_25.wav
yes I'd like to set up a joint account I'm allowed to anyone,yes I'd like to set up a joint account I'm allowed to anyone,11,en-US,MInDS-14\audio\en-US~JOINT_ACCOUNT/602bafa95f67b421554f64dc.wav
good morning I've just been on my app it's not working properly when it loads up an error message comes up,good morning I've just been on my app it's not working properly when it loads up an error message comes up,2,en-GB,MInDS-14\audio\en-GB~APP_ERROR/60268de3c7abb7f832138a99.wav
I have a card from the bank and I would like to know whether work overseas or not,I have a card from the bank and I would like to know whether work overseas or not,0,en-AU,MInDS-14\audio\en-AU~ABROAD/CA66140fabbe7417b1700caaf4b650ab5b_4.wav
I have a card that I can use here in Australia and I want to know if I can use it when I'm over seized,I have a card that I can use here in Australia and I want to know if I can use it when I'm over seized,0,en-AU,MInDS-14\audio\en-AU~ABROAD/CA5b34512cd2ce2f21bbe6473bb45e7f9e_4.wav
what is the most amount of rainfall from the ATM,what is the most amount of rainfall from the ATM,3,en-US,MInDS-14\audio\en-US~ATM_LIMIT/602bab49963e11ccd901cd88.wav
I'm thinking about withdrawing money from I want a lot of money today,I'm thinking about withdrawing money from I want a lot of money today,3,en-US,MInDS-14\audio\en-US~ATM_LIMIT/602ba71405f96973d6794465.wav
I need my card abroad can I pay for things when I'm in America,I need my card abroad can I pay for things when I'm in America,0,en-AU,MInDS-14\audio\en-AU~ABROAD/CA42cffe57133b3a0b3cbdf098f04abf4c_5.wav
my card is not working it will not pay,my card is not working it will not pay,6,en-US,MInDS-14\audio\en-US~CARD_ISSUES/602badffbb1e6d0fbce9222a.wav
oh hi I wonder if you can help me I've got a bank card from this bank but I just need to know if it's actually going to work abroad I'm going abroad next week I need to know if it's going to work in France,oh hi I wonder if you can help me I've got a bank card from this bank but I just need to know if it's actually going to work abroad I'm going abroad next week I need to know if it's going to work in France,0,en-GB,MInDS-14\audio\en-GB~ABROAD/60268b74c7abb7f8321388eb.wav
hello is what day would you like debit far,hello is what day would you like debit far,8,en-US,MInDS-14\audio\en-US~DIRECT_DEBIT/602b9cb2963e11ccd901cc03.wav
I have a question about Direct debits,I have a question about Direct debits,8,en-AU,MInDS-14\audio\en-AU~DIRECT_DEBIT/response_4.wav
what is my account balance,what is my account balance,4,en-US,MInDS-14\audio\en-US~BALANCE/602b9c72bb1e6d0fbce91f87.wav
the app is malfunctioning,the app is malfunctioning,2,en-US,MInDS-14\audio\en-US~APP_ERROR/602bad46963e11ccd901cdd6.wav
wondering if you could help me with changing my address please,wondering if you could help me with changing my address please,1,en-AU,MInDS-14\audio\en-AU~ADDRESS/response_32.wav
I tried to use my card day and it doesn't work if you help me and tell me why,I tried to use my card day and it doesn't work if you help me and tell me why,6,en-AU,MInDS-14\audio\en-AU~CARD_ISSUES/response_40.wav
I would like to enquire about depositing some money so I just I'm on the app right I just can't find wet the tablet I can deposit the money so if you don't me out of,I would like to enquire about depositing some money so I just I'm on the app right I just can't find wet the tablet I can deposit the money so if you don't me out of,7,en-AU,MInDS-14\audio\en-AU~CASH_DEPOSIT/response_11.wav
please tell me what information about your direct debit how to set direct debit up,please tell me what information about your direct debit how to set direct debit up,8,en-GB,MInDS-14\audio\en-GB~DIRECT_DEBIT/60268faadc3604f481bcb88c.wav
what's what is my ATM can I increase my withdrawal limit on a cash machine how much money can I withdraw,what's what is my ATM can I increase my withdrawal limit on a cash machine how much money can I withdraw,3,en-GB,MInDS-14\audio\en-GB~ATM_LIMIT/60268dedc7abb7f832138aa4.wav
hi so I'm going away on holiday and a few weeks time and I will leave my car at his own I need to do to unlock it or maybe any charges or anything like that but it behind to work,hi so I'm going away on holiday and a few weeks time and I will leave my car at his own I need to do to unlock it or maybe any charges or anything like that but it behind to work,0,en-GB,MInDS-14\audio\en-GB~ABROAD/60268d59c7abb7f832138a3a.wav
good morning I'm trying to use the Android app to access my account information and it says that I have no accounts to service online,good morning I'm trying to use the Android app to access my account information and it says that I have no accounts to service online,2,en-US,MInDS-14\audio\en-US~APP_ERROR/602ba6dc963e11ccd901cce0.wav
I'm looking to set up a joint account for me and my partner,I'm looking to set up a joint account for me and my partner,11,en-GB,MInDS-14\audio\en-GB~JOINT_ACCOUNT/6026952fdc3604f481bcb945.wav
stop all transactions on my card,stop all transactions on my card,9,en-AU,MInDS-14\audio\en-AU~FREEZE/response_50.wav
I'd like to apply for a new business loan,I'd like to apply for a new business loan,5,en-GB,MInDS-14\audio\en-GB~BUSINESS_LOAN/60268e92c421a821df7c1882.wav
I'm having trouble understanding what a direct debit is to provide through Clarity and information for me,I'm having trouble understanding what a direct debit is to provide through Clarity and information for me,8,en-US,MInDS-14\audio\en-US~DIRECT_DEBIT/602ba71905f96973d6794467.wav
ID like to deposit money into my account,ID like to deposit money into my account,7,en-AU,MInDS-14\audio\en-AU~CASH_DEPOSIT/CA34d10ae9561940a1f1d07fbeee642259_1.wav
what is the maximum amount I can withdraw from the ATM,what is the maximum amount I can withdraw from the ATM,3,en-GB,MInDS-14\audio\en-GB~ATM_LIMIT/60268e95c7abb7f832138b0d.wav
hello how's this wondering how much money can I withdraw,hello how's this wondering how much money can I withdraw,3,en-AU,MInDS-14\audio\en-AU~ATM_LIMIT/response_26.wav
please could you tell me the latest race or a set amount of money please,please could you tell me the latest race or a set amount of money please,5,en-GB,MInDS-14\audio\en-GB~BUSINESS_LOAN/60268f45c7abb7f832138c02.wav
hello I am just wondering what the maximum amount I can withdraw from the ATM is,hello I am just wondering what the maximum amount I can withdraw from the ATM is,3,en-US,MInDS-14\audio\en-US~ATM_LIMIT/602b9ae5963e11ccd901cbd6.wav
what is my checking account balance,what is my checking account balance,4,en-US,MInDS-14\audio\en-US~BALANCE/602bad7d05f96973d67944e2.wav
hi I'm calling from Snyder hardware and I need to discuss a business loan it is an existing loan that I need to have a tree figured help please let me know thank you,hi I'm calling from Snyder hardware and I need to discuss a business loan it is an existing loan that I need to have a tree figured help please let me know thank you,5,en-US,MInDS-14\audio\en-US~BUSINESS_LOAN/602ba6adbb1e6d0fbce920ae.wav
hello I'm going on holiday for a few weeks next month and I wanted to ask if I have to do anything to make sure that my cards will work when I am there thank you,hello I'm going on holiday for a few weeks next month and I wanted to ask if I have to do anything to make sure that my cards will work when I am there thank you,0,en-GB,MInDS-14\audio\en-GB~ABROAD/60268c74c7abb7f83213898f.wav
hi I'm I'm looking at going on a holiday soon and I'm just looking to check if my card work overseas,hi I'm I'm looking at going on a holiday soon and I'm just looking to check if my card work overseas,0,en-AU,MInDS-14\audio\en-AU~ABROAD/CA141c00a98086553e39daf471e454a7bf_4.wav
I want to see freezing my card,I want to see freezing my card,9,en-US,MInDS-14\audio\en-US~FREEZE/602b9e2abb1e6d0fbce91fb5.wav
I would like to pay my electricity bill using my card can you please assist,I would like to pay my electricity bill using my card can you please assist,13,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_4.wav
can you help me set up a joint bank account,can you help me set up a joint bank account,11,en-US,MInDS-14\audio\en-US~JOINT_ACCOUNT/602b9d4cbb1e6d0fbce91fa4.wav
could you tell me my account balance please,could you tell me my account balance please,4,en-GB,MInDS-14\audio\en-GB~BALANCE/60268bc7c7abb7f832138928.wav
I'm trying to make a large payment,I'm trying to make a large payment,10,en-GB,MInDS-14\audio\en-GB~HIGH_VALUE_PAYMENT/60268f6bc7abb7f832138c5b.wav
can you freeze my card please,can you freeze my card please,9,en-GB,MInDS-14\audio\en-GB~FREEZE/60268cc7c7abb7f8321389c9.wav
oh hi there I want to find out if the card I've got from the bank can work when I'm overseas,oh hi there I want to find out if the card I've got from the bank can work when I'm overseas,0,en-AU,MInDS-14\audio\en-AU~ABROAD/CAd08cf13bb12ed87a32dcfa013f6c40af_1.wav
hello I'm just calling to ask how much is my limit my debit card limit when it comes to the drawing money because I want to increase my withdrawal limit at the cash machine or is that not possible,hello I'm just calling to ask how much is my limit my debit card limit when it comes to the drawing money because I want to increase my withdrawal limit at the cash machine or is that not possible,3,en-GB,MInDS-14\audio\en-GB~ATM_LIMIT/60268d66c7abb7f832138a40.wav
I have a transaction to a company I don't know and I was wondering what I can do about this,I have a transaction to a company I don't know and I was wondering what I can do about this,12,en-AU,MInDS-14\audio\en-AU~LATEST_TRANSACTIONS/response_17.wav
how do I transfer money to the account or where do I deposit money,how do I transfer money to the account or where do I deposit money,7,en-US,MInDS-14\audio\en-US~CASH_DEPOSIT/602bae10bb1e6d0fbce92233.wav
my Atlas is to login,my Atlas is to login,2,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_23.wav
I have a question about a business loan,I have a question about a business loan,5,en-US,MInDS-14\audio\en-US~BUSINESS_LOAN/602babebbb1e6d0fbce921b8.wav
please show me my latest transactions,please show me my latest transactions,12,en-US,MInDS-14\audio\en-US~LATEST_TRANSACTIONS/602baf29bb1e6d0fbce922a9.wav
account balance please,account balance please,4,en-US,MInDS-14\audio\en-US~BALANCE/602ba1e5963e11ccd901cc52.wav
hello I'm having a problem with my with the app it won't load my account,hello I'm having a problem with my with the app it won't load my account,2,en-US,MInDS-14\audio\en-US~APP_ERROR/602ba1645f67b421554f63d1.wav
how can I deposit money into my account,how can I deposit money into my account,7,en-AU,MInDS-14\audio\en-AU~CASH_DEPOSIT/response_24.wav
please tell me my most recent transaction,please tell me my most recent transaction,12,en-US,MInDS-14\audio\en-US~LATEST_TRANSACTIONS/602ba44005f96973d6794427.wav
I would like to get my account balance,I would like to get my account balance,4,en-AU,MInDS-14\audio\en-AU~BALANCE/CAd3a9108c5cace09ee64a684a5d6075cc_1.wav
hi there I have a question about the existing loan,hi there I have a question about the existing loan,5,en-AU,MInDS-14\audio\en-AU~BUSINESS_LOAN/response_31.wav
what are my options to deposit money into my account,what are my options to deposit money into my account,7,en-US,MInDS-14\audio\en-US~CASH_DEPOSIT/602bae4fbb1e6d0fbce92250.wav
hello I'm going overseas to America on Thursday for 2 weeks and I wanted to know if I could use my card but can you let me know if it's ok or if I need to pay any charges,hello I'm going overseas to America on Thursday for 2 weeks and I wanted to know if I could use my card but can you let me know if it's ok or if I need to pay any charges,0,en-GB,MInDS-14\audio\en-GB~ABROAD/60269163cfa37e1cf217b149.wav
how do I set up a joint account with my partner,how do I set up a joint account with my partner,11,en-GB,MInDS-14\audio\en-GB~JOINT_ACCOUNT/60268fb9c421a821df7c18c5.wav
hi I'm going to be leaving the country and I'm going abroad I need to make sure that my card will work or anything that I need to do to make sure does it stop working,hi I'm going to be leaving the country and I'm going abroad I need to make sure that my card will work or anything that I need to do to make sure does it stop working,0,en-US,MInDS-14\audio\en-US~ABROAD/602ba62705f96973d6794449.wav
hello I would like to know what the balance of my account is so how much money have I got left in what's available to spend today,hello I would like to know what the balance of my account is so how much money have I got left in what's available to spend today,4,en-GB,MInDS-14\audio\en-GB~BALANCE/60268e4bdc3604f481bcb7ad.wav
how do I transfer money into my car,how do I transfer money into my car,7,en-GB,MInDS-14\audio\en-GB~CASH_DEPOSIT/60268bf4c7abb7f832138949.wav
hi I'm just calling because ID like to freeze all transactions on my,hi I'm just calling because ID like to freeze all transactions on my,9,en-AU,MInDS-14\audio\en-AU~FREEZE/response_10.wav
I am trying to set up a joint account with my partner can you tell me how he said that up please,I am trying to set up a joint account with my partner can you tell me how he said that up please,11,en-AU,MInDS-14\audio\en-AU~JOINT_ACCOUNT/response_25.wav
can you help me with my card my payment was declined,can you help me with my card my payment was declined,6,en-GB,MInDS-14\audio\en-GB~CARD_ISSUES/60268f5ec7abb7f832138c3e.wav
hello I was wondering if you could help me go through my list of latest recent transactions,hello I was wondering if you could help me go through my list of latest recent transactions,12,en-GB,MInDS-14\audio\en-GB~LATEST_TRANSACTIONS/6026901fdc3604f481bcb8d5.wav
hi I'm having some trouble purchasing a product on lies a large purchase and it's saying after respond to a text message or I've just received text message I'm so I'm not too sure where these SMS messages are going so he can help me out that that be great thank you,hi I'm having some trouble purchasing a product on lies a large purchase and it's saying after respond to a text message or I've just received text message I'm so I'm not too sure where these SMS messages are going so he can help me out that that be great thank you,10,en-AU,MInDS-14\audio\en-AU~HIGH_VALUE_PAYMENT/response_9.wav
hi just calling about paying a bill ID like to make it id like to make a payment please,hi just calling about paying a bill ID like to make it id like to make a payment please,13,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_36.wav
the app does not load and it is not working for me can you please help,the app does not load and it is not working for me can you please help,2,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_29.wav
hi there I was just calling regards to setting up a joint account and just wondering how they would do that if I come into the store or if I could do that on the app trying to get that for me thank you,hi there I was just calling regards to setting up a joint account and just wondering how they would do that if I come into the store or if I could do that on the app trying to get that for me thank you,11,en-GB,MInDS-14\audio\en-GB~JOINT_ACCOUNT/60268e65c7abb7f832138af4.wav
clip to stop all the transaction on my card I just lost it so I need to freeze my card and put a block on any transactions over the last 24 hours as I lost my card and it needs to be this big locked,clip to stop all the transaction on my card I just lost it so I need to freeze my card and put a block on any transactions over the last 24 hours as I lost my card and it needs to be this big locked,9,en-AU,MInDS-14\audio\en-AU~FREEZE/response_45.wav
new business loan,new business loan,5,en-GB,MInDS-14\audio\en-GB~BUSINESS_LOAN/60268f2dc7abb7f832138bd3.wav
I'd like to freeze my card,I'd like to freeze my card,9,en-US,MInDS-14\audio\en-US~FREEZE/602baf5dbb1e6d0fbce922ba.wav
hi can I use my card when I'm on holiday can I use in the shops and the cash machine,hi can I use my card when I'm on holiday can I use in the shops and the cash machine,0,en-GB,MInDS-14\audio\en-GB~ABROAD/60268d09c7abb7f8321389f7.wav
did you get some information about Ellie,did you get some information about Ellie,5,en-AU,MInDS-14\audio\en-AU~BUSINESS_LOAN/response_9.wav
hi I just need to check my account balance please,hi I just need to check my account balance please,4,en-GB,MInDS-14\audio\en-GB~BALANCE/60268c0fc7abb7f832138954.wav
I need to know what's like my bank I can work overseas,I need to know what's like my bank I can work overseas,0,en-AU,MInDS-14\audio\en-AU~ABROAD/CAd699bf635de6f253efd27259367c744f_2.wav
hey I bought something online but I payment was declined you help me with my card,hey I bought something online but I payment was declined you help me with my card,6,en-US,MInDS-14\audio\en-US~CARD_ISSUES/602ba4585f67b421554f63f4.wav
