filepath,text_asr,text_translated,intent,language,full_audio_path
en-AU~PAY_BILL/response_4.wav,I would like to pay my electricity bill using my card can you please assist,I would like to pay my electricity bill using my card can you please assist,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_4.wav
en-AU~PAY_BILL/response_17.wav,hello I like to pay for Bill I would actually like to make a payment but yeah could you help me,hello I like to pay for Bill I would actually like to make a payment but yeah could you help me,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_17.wav
en-AU~PAY_BILL/response_16.wav,pay a bill,pay a bill,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_16.wav
en-AU~PAY_BILL/response_7.wav,my credit card payment is due,my credit card payment is due,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_7.wav
en-AU~PAY_BILL/response_14.wav,hi I would like to make a new payment for a bill,hi I would like to make a new payment for a bill,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_14.wav
en-AU~PAY_BILL/response_28.wav,hello my credit card bills due,hello my credit card bills due,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_28.wav
en-AU~PAY_BILL/response_29.wav,hello I've just recently opened up an account with your bank and I wanted to find out how I can go about paying bills using my savings account,hello I've just recently opened up an account with your bank and I wanted to find out how I can go about paying bills using my savings account,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_29.wav
en-AU~PAY_BILL/response_15.wav,hey there I'm just calling about making a payment for Bill that I've got coming up I'm just wondering if you could lend me a hand with that please,hey there I'm just calling about making a payment for Bill that I've got coming up I'm just wondering if you could lend me a hand with that please,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_15.wav
en-AU~PAY_BILL/response_6.wav,ID like to pay bills due and I don't send it out to do it online,ID like to pay bills due and I don't send it out to do it online,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_6.wav
en-AU~PAY_BILL/response_2.wav,ID like to pay the bill,ID like to pay the bill,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_2.wav
en-AU~PAY_BILL/response_39.wav,I like to pay my bill please thank you,I like to pay my bill please thank you,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_39.wav
en-AU~PAY_BILL/response_11.wav,I want to make a payment on my credit card bill,I want to make a payment on my credit card bill,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_11.wav
en-AU~PAY_BILL/CAaa55d8308b78b23493096c8533cc793d_1.wav,I would like to pay my credit card bill,I would like to pay my credit card bill,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/CAaa55d8308b78b23493096c8533cc793d_1.wav
en-AU~PAY_BILL/response_10.wav,hello how do I make a payment using BPAY,hello how do I make a payment using BPAY,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_10.wav
en-AU~PAY_BILL/response_38.wav,I need to pay a bill,I need to pay a bill,PAY_BILL,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_38.wav
